algorithm,scenario_id,t,T,x,z,a,B_accept,g_proposals,h_proposals,total_proposals,acceptance_rate,mean_proposals_per_draw,median_proposals_per_draw,B_time,timing_reps,elapsed_median_sec,elapsed_mean_sec,elapsed_sd_sec,sec_per_draw_median,acceptance_seed
3,46,2.0,3.0,1.0,0.525,2.0,2000,13705,0,13705,0.1459321415541773,6.8525,5.0,10000,1,1.265978084000011,1.265978084000011,,0.0001265978084000011,100046
3,47,2.5,3.0,1.0,0.525,2.0,2000,14859,0,14859,0.1345985597954102,7.4295,5.0,10000,1,1.2732826250000073,1.2732826250000073,,0.00012732826250000072,100047
3,48,2.9,3.0,1.0,0.525,2.0,2000,15263,0,15263,0.13103583830177554,7.6315,5.0,10000,1,1.0596350419999965,1.0596350419999965,,0.00010596350419999965,100048
3,49,0.1,3.0,1.4749999999999999,0.525,2.0,2000,10899,0,10899,0.18350307367648408,5.4495,4.0,10000,1,0.7537157499999978,0.7537157499999978,,7.537157499999978e-05,100049
3,50,1.0,3.0,1.4749999999999999,0.525,2.0,2000,9944,0,9944,0.2011263073209976,4.972,4.0,10000,1,0.9543624169999987,0.9543624169999987,,9.543624169999987e-05,100050
3,51,1.5,3.0,1.4749999999999999,0.525,2.0,2000,9793,0,9793,0.20422750944552232,4.8965,4.0,10000,1,1.502604292000001,1.502604292000001,,0.0001502604292000001,100051
3,52,2.0,3.0,1.4749999999999999,0.525,2.0,2000,27364,0,27364,0.0730887297178775,13.682,10.0,10000,1,2.381125750000024,2.381125750000024,,0.00023811257500000238,100052
3,53,2.5,3.0,1.4749999999999999,0.525,2.0,2000,27955,0,27955,0.07154355213736362,13.9775,10.0,10000,1,2.2998204999999814,2.2998204999999814,,0.00022998204999999814,100053
3,54,2.9,3.0,1.4749999999999999,0.525,2.0,2000,29958,0,29958,0.06676013084985646,14.979,10.5,10000,1,2.0870668749999766,2.0870668749999766,,0.00020870668749999765,100054
3,55,0.1,3.0,1.95,0.525,2.0,2000,14157,0,14157,0.14127286854559581,7.0785,5.0,10000,1,1.0518158749999884,1.0518158749999884,,0.00010518158749999884,100055
3,56,1.0,3.0,1.95,0.525,2.0,2000,9920,0,9920,0.20161290322580644,4.96,4.0,10000,1,0.9098482079999997,0.9098482079999997,,9.098482079999997e-05,100056
3,57,1.5,3.0,1.95,0.525,2.0,2000,10277,0,10277,0.19460932178651358,5.1385,4.0,10000,1,1.7732287919999976,1.7732287919999976,,0.00017732287919999977,100057
3,58,2.0,3.0,1.95,0.525,2.0,2000,351547,0,351547,0.005689139716737734,175.7735,119.0,10000,1,29.384369582999994,29.384369582999994,,0.0029384369582999992,100058
3,59,2.5,3.0,1.95,0.525,2.0,2000,351333,0,351333,0.005692605021446889,175.6665,124.0,10000,1,27.228095499999995,27.228095499999995,,0.0027228095499999996,100059
3,60,2.9,3.0,1.95,0.525,2.0,2000,376039,0,376039,0.005318597273155178,188.0195,133.0,10000,1,25.311172208000016,25.311172208000016,,0.002531117220800002,100060
3,61,0.1,3.0,0.05,1.0,2.0,2000,20140,0,20140,0.09930486593843098,10.07,7.0,10000,1,1.4577627909999933,1.4577627909999933,,0.00014577627909999932,100061
3,62,1.0,3.0,0.05,1.0,2.0,2000,14282,0,14282,0.1400364094664613,7.141,5.0,10000,1,1.222088499999984,1.222088499999984,,0.0001222088499999984,100062
3,63,1.5,3.0,0.05,1.0,2.0,2000,13971,0,13971,0.14315367547061772,6.9855,5.0,10000,1,2.48519675,2.48519675,,0.000248519675,100063
3,64,2.0,3.0,0.05,1.0,2.0,2000,9073,0,9073,0.22043425548330212,4.5365,3.0,10000,1,0.9409876249999911,0.9409876249999911,,9.409876249999911e-05,100064
3,65,2.5,3.0,0.05,1.0,2.0,2000,8559,0,8559,0.23367215796237878,4.2795,3.0,10000,1,0.7980561249999596,0.7980561249999596,,7.980561249999597e-05,100065
3,66,2.9,3.0,0.05,1.0,2.0,2000,7887,0,7887,0.2535818435400025,3.9435,3.0,10000,1,0.5437506249999728,0.5437506249999728,,5.4375062499997284e-05,100066
