algorithm,scenario_id,t,x,z,repetition,B_time,timing_seed,elapsed_sec
3,68,1.0,0.525,1.0,1,10000,206801,1.2926448750000077
3,69,1.5,0.525,1.0,1,10000,206901,2.11986399999995
3,70,2.0,0.525,1.0,1,10000,207001,0.9306877079999936
3,71,2.5,0.525,1.0,1,10000,207101,0.8553577910000172
3,72,2.9,0.525,1.0,1,10000,207201,0.6077473340000097
3,73,0.1,1.0,1.0,1,10000,207301,0.862138458000004
3,74,1.0,1.0,1.0,1,10000,207401,1.272171042000025
3,75,1.5,1.0,1.0,1,10000,207501,2.7463306249999846
3,76,2.0,1.0,1.0,1,10000,207601,1.2563511660000017
3,77,2.5,1.0,1.0,1,10000,207701,1.2007901659999902
3,78,2.9,1.0,1.0,1,10000,207801,0.8427837500000237
3,79,0.1,1.4749999999999999,1.0,1,10000,207901,1.0641826670000114
3,80,1.0,1.4749999999999999,1.0,1,10000,208001,1.2636404579999976
3,81,1.5,1.4749999999999999,1.0,1,10000,208101,2.1149843329999953
3,82,2.0,1.4749999999999999,1.0,1,10000,208201,2.40758787499999
3,83,2.5,1.4749999999999999,1.0,1,10000,208301,2.0401446660000033
3,84,2.9,1.4749999999999999,1.0,1,10000,208401,1.7177433329999872
3,85,0.1,1.95,1.0,1,10000,208501,1.4656177499999785
3,86,1.0,1.95,1.0,1,10000,208601,1.2537914590000128
3,87,1.5,1.95,1.0,1,10000,208701,2.483162708000009
3,88,2.0,1.95,1.0,1,10000,208801,29.422147249999966
3,89,2.5,1.95,1.0,1,10000,208901,23.896614708000016
3,90,2.9,1.95,1.0,1,10000,209001,21.040456833999997
3,91,0.1,0.05,1.4749999999999999,1,10000,209101,2.9344434170000113
3,92,1.0,0.05,1.4749999999999999,1,10000,209201,2.276135207999971
3,93,1.5,0.05,1.4749999999999999,1,10000,209301,4.869352124999978
3,94,2.0,0.05,1.4749999999999999,1,10000,209401,0.9448345000000131
3,95,2.5,0.05,1.4749999999999999,1,10000,209501,0.8727933749999579
3,96,2.9,0.05,1.4749999999999999,1,10000,209601,0.6718354579999755
3,97,0.1,0.525,1.4749999999999999,1,10000,209701,2.1265463749999753
3,98,1.0,0.525,1.4749999999999999,1,10000,209801,2.3395971250000116
