t,y,theory_density,kde_density
0.2,0.8250000000000001,1.1740703570295676,1.2202099503997654
0.2,0.8300000000000001,1.167514885398021,1.2130074352831013
0.2,0.835,1.1607621319592463,1.2055411909810025
0.2,0.84,1.153816572338416,1.1978043225505124
0.2,0.845,1.1466827415675145,1.189784634184787
0.2,0.85,1.1393652303476582,1.1814652968171455
0.2,0.855,1.1318686813075172,1.1728259609451492
0.2,0.86,1.124197785261277,1.163844258087204
0.2,0.865,1.1163572774695536,1.1544975962894544
0.2,0.87,1.1083519339066292,1.1447651239424437
0.2,0.875,1.1001865675373579,1.1346297152711058
0.2,0.88,1.0918660246070293,1.1240798226986295
0.2,0.885,1.0833951809474471,1.1131110470896404
0.2,0.89,1.0747789383024307,1.101727296498113
0.2,0.895,1.066022220675886,1.089941435936704
0.2,0.9,1.0571299707055495,1.0777753720586527
0.2,0.905,1.0481071460654419,1.065259563741291
0.2,0.91,1.0389587159000178,1.0524319980240342
0.2,0.915,1.0296896572929193,1.0393367161603024
0.2,0.92,1.020304951773185,1.0260220124433026
0.2,0.925,1.0108095818616967,1.0125384554033339
0.2,0.93,1.001208527660564,0.9989368944160295
0.2,0.935,0.9915067634880883,0.9852666134422753
0.2,0.9400000000000001,0.9817092545618481,0.9715737776522201
0.2,0.9450000000000001,0.9718209537323929,0.9579002895416804
0.2,0.9500000000000001,0.9618467982699326,0.9442831315190786
0.2,0.9550000000000001,0.951791706706339,0.9307542254773112
0.2,0.96,0.9416605757346723,0.9173407908389853
0.2,0.965,0.9314582771683849,0.904066135469968
0.2,0.97,0.9211896549622408,0.8909507729964354
0.2,0.975,0.9108595222969159,0.878013729147456
0.2,0.98,0.9004726587291394,0.8652738815638581
0.2,0.985,0.890033807409158,0.8527511736699763
0.2,0.99,0.8795476723671978,0.8404675539856159
0.2,0.995,0.8690189158705152,0.8284475166181652
0.2,1.0,0.8584521558525219,0.8167181543578811
0.2,1.0050000000000001,0.8478519634153792,0.8053086795556299
0.2,1.01,0.837222860407368,0.7942494158766303
0.2,1.0150000000000001,0.8265693170762178,0.7835703118909043
0.2,1.02,0.8158957497995214,0.7732990711856863
0.2,1.025,0.8052065188932174,0.7634590296462056
0.2,1.03,0.7945059264990713,0.7540669359184755
0.2,1.035,0.783798214551955,0.7451308040153658
0.2,1.04,0.7730875628276392,0.7366480068424702
0.2,1.045,0.7623780870717323,0.7286037664992727
0.2,1.05,0.7516738372102666,0.720970172945347
0.2,1.055,0.7409787956423877,0.7137058292053245
0.2,1.06,0.7302968756154528,0.7067561814673687
0.2,1.065,0.7196319196828072,0.7000545492365443
0.2,1.07,0.7089876982443595,0.6935238271847002
0.2,1.075,0.698367908170044,0.6870787893346141
0.2,1.08,0.6877761715061061,0.680628890186839
0.2,1.085,0.677216034264121,0.6740814283074126
0.2,1.09,0.666690965292507,0.6673449171541708
0.2,1.095,0.6562043552302742,0.6603324963775126
0.2,1.1,0.645759515542598,0.6529652148001807
0.2,1.105,0.635359677637786,0.6451750235802989
0.2,1.11,0.625007992065077,0.6369073340695249
0.2,1.115,0.614707527792677,0.628123018581269
0.2,1.12,0.6044612715653134,0.6187997623238823
0.2,1.125,0.5942721273405625,0.6089327094740941
0.2,1.1300000000000001,0.5841429158030896,0.5985343838659376
0.2,1.135,0.5740763739559109,0.5876339029711424
0.2,1.1400000000000001,0.5640751547876801,0.5762755405805768
0.2,1.145,0.5541418270149718,0.5645167267155399
0.2,1.1500000000000001,0.5442788748984448,0.552425600806331
0.2,1.155,0.5344886981317252,0.5400782543695625
0.2,1.16,0.5247736118017763,0.5275558110216688
0.2,1.165,0.5151358464194842,0.5149414939633613
0.2,1.17,0.5055775480191181,0.5023178239759221
0.2,1.175,0.49610077832527916,0.4897640750821199
0.2,1.18,0.4867075149859143,0.4773540915985829
0.2,1.185,0.4773996518699062,0.4651545411813314
0.2,1.19,0.46817899942772734,0.4532236459276788
0.2,1.195,0.4590472851135896,0.4416104001946383
0.2,1.2,0.4500061538675013,0.4303542521266811
0.2,1.205,0.44105716865558664,0.4194851983769367
0.2,1.21,0.43220181106701117,0.40902422018695345
0.2,1.215,0.4234414819658122,0.3989839753121673
0.2,1.22,0.4147775021959217,0.3893696549808879
0.2,1.225,0.40621111333762167,0.38017991810694923
0.2,1.23,0.39774347851367836,0.37140782551435736
0.2,1.235,0.38937568324335725,0.36304171345483266
0.2,1.24,0.38110873634252684,0.3550659661443774
0.2,1.245,0.3729435708680232,0.3474616690246309
0.2,1.25,0.3648810451044519,0.3402071455067069
0.2,1.2550000000000001,0.35692194359159246,0.33327839780613094
0.2,1.26,0.34906697819055615,0.32664948528917537
0.2,1.2650000000000001,0.3413167891868494,0.32029288031901904
0.2,1.27,0.3336719464285009,0.3141798414715622
0.2,1.2750000000000001,0.32613295049738883,0.30828083754309016
0.2,1.28,0.3187002339119373,0.3025660440976022
0.2,1.285,0.311374162359327,0.29700591910216345
0.2,1.29,0.30415503595539634,0.2915718475588694
0.2,1.295,0.29704309053040545,0.28623682916730064
0.2,1.3,0.2900384989388433,0.28097616999700986
0.2,1.305,0.2831413723914885,0.27576813057271027
0.2,1.31,0.2763517618079321,0.2705944797453627
0.2,1.315,0.2696696591877974,0.26544090661221414
0.2,1.32,0.2630949989989097,0.2602972512155051
0.2,1.325,0.2566276595806888,0.2551575278086937
0.2,1.33,0.2502674645610515,0.25001973065492805
0.2,1.335,0.2440141842851624,0.2448854298494372
0.2,1.34,0.23786753725435456,0.2397591817040768
0.2,1.345,0.23182719157361006,0.23464779311447945
0.2,1.35,0.22589276640599404,0.2295594906890959
0.2,1.355,0.22006383343247185,0.22450305234018833
0.2,1.36,0.2143399183155769,0.2194869611035245
