path,time,value
1,1.72,1.0666098837272056
1,1.73,1.1387248600210664
1,1.74,0.9878005960322747
1,1.75,1.0859862019251871
1,1.76,1.0375211441496475
1,1.77,1.018141594499022
1,1.78,1.0401538596983233
1,1.79,1.0071689542262936
1,1.8,1.103816471494552
1,1.81,0.9865770419216451
1,1.82,0.9227650040170885
1,1.83,0.9420161277097912
1,1.84,1.0361305965314365
1,1.85,1.0737562004338788
1,1.86,1.038992998931818
1,1.87,1.05892583185532
1,1.88,1.1785385259605423
1,1.89,1.0432396965350657
1,1.9,1.0460647019593772
1,1.91,1.1303758015813563
1,1.92,1.1321050418257064
1,1.93,1.1210105989158636
1,1.94,1.1811766660176741
1,1.95,1.1642439414888013
1,1.96,0.9773807543045059
1,1.97,0.9315264568669395
1,1.98,0.7588559936816153
1,1.99,0.7464589836918011
1,2.0,0.5456532073924515
1,2.01,0.4937994281504343
1,2.02,0.419156746353852
1,2.03,0.43852822214405573
1,2.04,0.4238490644406141
1,2.05,0.49101497738302435
1,2.06,0.5242396866093781
1,2.07,0.5737795988031682
1,2.08,0.5910317134047978
1,2.09,0.4361109801552214
1,2.1,0.4297076358478165
1,2.11,0.37053404795433853
1,2.12,0.3058987211542546
1,2.13,0.3828038690481609
1,2.14,0.522446087462777
1,2.15,0.5693051140870831
1,2.16,0.43218149991700705
1,2.17,0.5707418249909266
1,2.18,0.4530055664744312
1,2.19,0.5672000398780384
1,2.2,0.6959851560990621
1,2.21,0.8238518968496837
1,2.22,0.8098833754046193
1,2.23,0.7771320539685086
1,2.24,0.6861638161139416
1,2.25,0.47196415298598243
1,2.26,0.5000897496771535
1,2.27,0.4829857516835513
1,2.28,0.51693661570722
1,2.29,0.7380913275352483
1,2.3,0.7226831623762159
1,2.31,0.7253925009922861
1,2.32,0.8608240202084823
1,2.33,0.7394320685351587
1,2.34,0.6727779737649697
1,2.35,0.6686127451567232
1,2.36,0.7501990188319388
1,2.37,0.6836721941480688
1,2.38,0.7331116496351702
1,2.39,0.8489357744067507
1,2.4,0.8003196355427038
1,2.41,0.9110046233450634
1,2.42,1.0338469930330803
1,2.43,1.1824089197513215
1,2.44,1.00913905867671
1,2.45,0.9624802105046555
1,2.46,0.9274563581506438
1,2.47,0.8501762069294867
1,2.48,0.858236889801704
1,2.49,0.9635540898562224
1,2.5,0.9040631624254668
1,2.51,0.8465839293613728
1,2.52,1.0254548401777541
1,2.53,1.2333123864509652
1,2.54,1.3175719232364167
1,2.55,1.462216092021135
1,2.56,1.469227857598396
1,2.57,1.6392719839669565
1,2.58,1.745327416435249
1,2.59,1.690626096184014
1,2.6,1.5950473424700453
1,2.61,1.7143195616611815
1,2.62,1.6502509410294934
1,2.63,1.556069192673456
1,2.64,1.576559395471298
1,2.65,1.560515613396216
1,2.66,1.7323496881196214
1,2.67,1.496629152575225
1,2.68,1.3815615241305506
1,2.69,1.384274228889288
1,2.7,1.5286503308865533
1,2.71,1.5947620829929279
1,2.72,1.555672752122967
1,2.73,1.5534374015163799
1,2.74,1.5964011394323057
1,2.75,1.6068454221799466
1,2.76,1.8050083899027465
1,2.77,1.8786816761437644
1,2.78,1.8998505976968114
