parameter,alpha_continuous_N,beta_continuous_N,alpha_log10_N,beta_log10_N,beta_plot_y,alpha_ceil_N,beta_ceil_N
2.986673346693387,4.986594481500066,3.5450429764405103,0.6978040520748694,0.5496215044888543,7.014326653306613,5,4
3.0067114228456915,4.969502752525698,3.533210349220578,0.696312935486266,0.5481694938702704,6.9942885771543075,5,4
3.0267494989979964,4.952582474070307,3.521495421163258,0.6948317164640725,0.5467271280357976,6.974250501002003,5,4
3.046787575150301,4.935830808435338,3.5098962538629617,0.6933602644323434,0.5452942797020861,6.954212424849699,5,4
3.066825651302605,4.9192449831504925,3.4984109533151395,0.6918984513824847,0.5438708240889377,6.934174348697395,5,4
3.08686372745491,4.902822289060049,3.487037668617147,0.690446151806383,0.5424566388540973,6.91413627254509,5,4
3.1069018036072142,4.886560078477346,3.4757745907152744,0.6890032426316993,0.5410516040301544,6.894098196392785,5,4
3.126939879759519,4.870455763404527,3.4646199511959956,0.6875696031592398,0.5396556019634712,6.874060120240481,5,4
3.1469779559118236,4.854506813814899,3.453572021119633,0.6861451150023296,0.5382685172550639,6.854022044088175,5,4
3.1670160320641285,4.838710755995265,3.442629109894659,0.6847296620281081,0.5368902367033577,6.833983967935871,5,4
3.187054108216433,4.823065170945817,3.4317895641909986,0.683323130300677,0.5355206492487489,6.8139458917835665,5,4
3.2070921843687374,4.807567692835207,3.4210517668907277,0.6819254080260287,0.5341596459199032,6.793907815631262,5,4
3.2271302605210423,4.792216007508585,3.4104141360746616,0.6805363854986902,0.532807119781727,6.7738697394789575,5,4
3.247168336673347,4.777007851046464,3.399875124043398,0.6791559550500179,0.5314629658849496,6.753831663326652,5,4
3.2672064128256513,4.761941008372378,3.3894332163714265,0.677784010998083,0.5301270812172546,6.733793587174349,5,4
3.2872444889779557,4.747013311907393,3.379086930993004,0.6764204495990885,0.528799364655907,6.713755511022043,5,4
3.3072825651302606,4.7322226402696295,3.368834817318536,0.6750651690002626,0.5274797169218193,6.693717434869739,5,4
3.327320641282565,4.717566917017003,3.3586754553802707,0.6737180691941739,0.5261680405350039,6.673679358717434,5,4
3.34735871743487,4.703044109431539,3.348607455006162,0.6723790519744196,0.524864239771365,6.653641282565129,5,4
3.3673967935871745,4.6886522273435896,3.3386294550208127,0.6710480208926338,0.5235682206207778,6.633603206412825,5,4
3.387434869739479,4.674389321994478,3.3287401224724538,0.6697248812167729,0.5222798907464125,6.61356513026052,5,4
3.407472945891784,4.660253484936039,3.3189381518849594,0.6684095398906292,0.5209991594452577,6.593527054108216,5,4
3.4275110220440883,4.646242846965692,3.3092222645339535,0.667101905494534,0.5197259376098007,6.573488977955911,5,4
3.447549098196393,4.632355577095668,3.299591207746085,0.6658018882072019,0.5184601376908251,6.553450901803606,5,4
3.4675871743486972,4.6185898815551285,3.2900437542206173,0.6645093997686851,0.5172016736612869,6.533412825651302,5,4
3.487625250501002,4.604944002823925,3.2805787013724697,0.6632243534443911,0.5159504609812297,6.513374749498997,5,4
3.5076633266533066,4.591416218696832,3.2711948706959477,0.6619466639901338,0.5147064165637067,6.493336673346693,5,4
3.527701402805611,4.578004841377122,3.261891107148366,0.6606762476181783,0.5134694587416727,6.473298597194388,5,4
3.547739478957916,4.564708216598392,3.2526662785528564,0.6594130219642471,0.5122395072358135,6.4532605210420835,5,4
3.5677775551102204,4.551524722773631,3.2435192750196413,0.658156906055457,0.5110164831232813,6.433222444889779,5,4
3.5878156312625253,4.5384527701705,3.234449008385113,0.6569078202791515,0.5098003088073062,6.413184368737474,5,4
3.60785370741483,4.5254908001119185,3.2254544116680743,0.6556656863526034,0.5085909079876532,6.39314629258517,5,4
3.6278917835671347,4.5126372842009985,3.2165344385425105,0.6544304272935537,0.5073882056318973,6.373108216432865,5,4
3.647929859719439,4.499890723569506,3.2076880628263282,0.6532019673915651,0.5061921279474919,6.35307014028056,5,4
3.667967935871743,4.487249648148957,3.1989142779854576,0.6519802321801563,0.5050026023545977,6.333032064128256,5,4
3.688006012024048,4.474712615963596,3.190212096652811,0.6507651484096986,0.5038195574596569,6.312993987975951,5,4
3.7080440881763526,4.462278212444446,3.181580550161547,0.649556644021044,0.5026429230296798,6.292955911823647,5,4
3.7280821643286575,4.449945049763725,3.1730186880921556,0.6483546481198667,0.5014726299672259,6.2729178356713415,5,4
3.748120240480962,4.437711766188891,3.1645255778328814,0.6471590909516893,0.500308610286055,6.252879759519038,5,4
3.768158316633267,4.4255770254556435,3.1561003041530102,0.6459699038775768,0.4991507970874275,6.232841683366733,5,4
3.7881963927855713,4.413539516159253,3.147741968788601,0.6447870193504744,0.4979991245370339,6.212803607214428,5,4
3.808234468937876,4.401597951163537,3.1394496900402094,0.6436103708921692,0.49685352784253156,6.192765531062124,5,4
