panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.225,0.3421797814273426,0.3402355439863928
1,1.0,0.5,1.8,0.2268,0.3447625104249552,0.3426498110207084
1,1.0,0.5,1.8,0.2286,0.3473415915486054,0.3450594192876113
1,1.0,0.5,1.8,0.2304,0.3499169978277295,0.34746455327356696
1,1.0,0.5,1.8,0.2322,0.35248870233778373,0.349865410567344
1,1.0,0.5,1.8,0.23399999999999999,0.3550566782005696,0.35226220246080986
1,1.0,0.5,1.8,0.23579999999999998,0.35762089858455837,0.3546551545347939
1,1.0,0.5,1.8,0.2376,0.36018133670521424,0.3570445072240185
1,1.0,0.5,1.8,0.2394,0.36273796582531737,0.35943051635506407
1,1.0,0.5,1.8,0.2412,0.36529075925528565,0.36181345365125644
1,1.0,0.5,1.8,0.243,0.3678396903534956,0.3641936071984577
1,1.0,0.5,1.8,0.2448,0.37038473252660237,0.3665712818657016
1,1.0,0.5,1.8,0.24659999999999999,0.3729258592298591,0.36894679967476446
1,1.0,0.5,1.8,0.24839999999999998,0.3754630439674352,0.37132050011284484
1,1.0,0.5,1.8,0.2502,0.377996260292734,0.37369274038267924
1,1.0,0.5,1.8,0.252,0.3805254818087086,0.3760638955846417
1,1.0,0.5,1.8,0.25379999999999997,0.38305068216817795,0.3784343588254867
1,1.0,0.5,1.8,0.2556,0.38557183507414217,0.3808045412488127
1,1.0,0.5,1.8,0.2574,0.3880889142800951,0.38317487198240363
1,1.0,0.5,1.8,0.2592,0.39060189359033853,0.3855457979980798
1,1.0,0.5,1.8,0.261,0.39311074686029307,0.38791778387989106
1,1.0,0.5,1.8,0.2628,0.39561544799680987,0.3902913114969158
1,1.0,0.5,1.8,0.2646,0.39811597095848034,0.3926668795772899
1,1.0,0.5,1.8,0.26639999999999997,0.40061228975594604,0.3950450031804736
1,1.0,0.5,1.8,0.2682,0.40310437845220637,0.39742621306520287
1,1.0,0.5,1.8,0.27,0.4055922111629252,0.39981105495100844
1,1.0,0.5,1.8,0.2718,0.40807576205673907,0.4022000886716295
1,1.0,0.5,1.8,0.2736,0.4105550053555608,0.4045938872191696
1,1.0,0.5,1.8,0.2754,0.41302991533488476,0.4069930356782625
1,1.0,0.5,1.8,0.2772,0.41550046632409043,0.4093981300500739
1,1.0,0.5,1.8,0.27899999999999997,0.4179666327067443,0.41180977596646534
